subject_name,no_of_courses,href
Accounting,2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=24
Arabic and Persian,13,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=28
Archaeology,4,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=30
Architecture and Architectural History & Heritage,4,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=16
Art,2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=58
Biological Sciences,15,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=63
Biomedical Sciences,7,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=1
Business,16,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=12
Celtic,9,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=31
Chemistry,6,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=3
Chinese,7,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=27
Classics,13,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=34
Cognitive Science (Humanities),1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=60
Computer Science (Informatics),9,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=9
Design,9,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=59
Earth Sciences and Environment,14,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=7
Ecological and Environmental Sciences,2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=2
Economics,7,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=17
Education,5,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=14
Engineering,17,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=11
English Language,2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=43
English Literature and Scottish Literature,8,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=32
French and Francophone Studies,17,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=44
Geography,2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=8
German,15,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=45
HCP-Med,1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=67
Health in Social Science,1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=62
History,7,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=29
History of Art,6,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=37
Integrative Biomedical Sciences (based in China),2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=65
Interdisciplinary Studies,1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=66
Islamic Studies and Middle Eastern Studies,2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=52
Italian,10,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=47
Japanese,2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=38
Landscape Architecture,1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=61
Law,15,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=23
Linguistics,3,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=15
Mathematics,9,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=6
Medical Sciences,1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=53
Medicine,1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=40
Music,2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=5
Nursing Studies,1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=13
Philosophy,10,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=35
Physics and Astronomy,13,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=4
Politics and International Relations,5,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=18
Psychology,4,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=10
Russian Studies,12,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=48
Scandinavian Studies,10,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=49
Scottish Ethnology,7,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=50
Scottish Studies,1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=55
Social Anthropology,4,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=21
Social Policy,7,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=22
Social Work,1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=20
Sociology,5,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=19
"Spanish, Portuguese and Latin American Studies",16,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=46
Sport,2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=42
Sustainability,1,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=54
Theology and Religious Studies,8,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=36
Veterinary Medicine,2,https://undergraduate.degrees.ed.ac.uk/index.php?action=subject&code=41
